name,cpu,ecu,memory,storage,cost
i3.xlarge,4,16,30.5 GiB,1 x 950 NVMe SSD,$0.362
i3.2xlarge,8,31,61 GiB,1 x 1900 NVMe SSD,$0.724
i3.4xlarge,16,53,122 GiB,2 x 1900 NVMe SSD,$1.448
i3.8xlarge,32,97,244 GiB,4 x 1900 NVMe SSD,$2.896
i3.16xlarge,64,201,488 GiB,8 x 1900 NVMe SSD,$5.792
i3en.large,2,10,16 GiB,1 x 1250 NVMe SSD,$0.263
i3en.xlarge,4,N/A,32 GiB,1 x 2500 NVMe SSD,$0.526
i3en.2xlarge,8,37,64 GiB,2 x 2500 NVMe SSD,$1.052
i3en.3xlarge,12,N/A,96 GiB,1 x 7500 NVMe SSD,$1.578
i3en.6xlarge,24,N/A,192 GiB,2 x 7500 NVMe SSD,$3.156
i3en.12xlarge,48,168,384 GiB,4 x 7500 NVMe SSD,$6.312
i3en.24xlarge,96,337,768 GiB,8 x 7500 NVMe SSD,$12.624
i3en.metal,96,N/A,768 GiB,8 x 7500 NVMe SSD,$12.624
d2.xlarge,4,14,30.5 GiB,3 x 2000 HDD,$0.772
d2.2xlarge,8,28,61 GiB,6 x 2000 HDD,$1.544
d2.4xlarge,16,56,122 GiB,12 x 2000 HDD,$3.088
d2.8xlarge,36,116,244 GiB,24 x 2000 HDD,$6.176
